Ticker,Name,GICS Sector,GICS Subsector,Headquarters
SFBS,"ServisFirst Bancshares, Inc.",Financials,Regional Banks,"Birmingham, Alabama"
SFNC,Simmons First National Corporation,Financials,Regional Banks,"Little Rock, Arkansas"
SGH,"SMART Global Holdings, Inc.",Information Technology,Semiconductors,"Newark, California"
SHAK,"Shake Shack, Inc.",Consumer Discretionary,Restaurants,"New York City, New York"
SHEN,Shenandoah Telecommunications Co,Communication Services,Wireless Telecommunication Services,"Edinburg, Virginia"
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,Hotel & Resort REITs,"Aliso Viejo, California"
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,Footwear,"Long Island City, New York"
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,"Akron, Ohio"
SITC,SITE Centers Corp.,Real Estate,Retail REITs,"Beachwood, Ohio"
SITM,SiTime,Information Technology,Semiconductors,"Santa Clara, California"
SIX,Six Flags,Consumer Discretionary,Leisure Facilities,"Arlington, Texas"
SJW,SJW Group,Utilities,Water Utilities,"San Jose, California"
SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,Retail REITs,"Greensboro, North Carolina"
SKYW,"SkyWest, Inc.",Industrials,Airlines,"St. George, Utah"
SLCA,"U.S. Silica Holdings, Inc.",Energy,Oil & Gas Equipment & Services,"Katy, Texas"
SLG,SL Green Realty,Real Estate,Office REITs,"New York City, New York"
SLP,"Simulations Plus, Inc.",Health Care,Health Care Technology,"Lancaster, California"
SLVM,Sylvamo Corp.,Materials,Paper Products,"Memphis, Tennessee"
SM,SM Energy Company,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,Auto Parts & Equipment,"Long Island City, New York"
SMPL,Simply Good Foods Company,Consumer Staples,Packaged Foods & Meats,"Denver, Colorado"
